Cell_Line,Genomics
MOLM-13,MLL-AF9 + FLT3-ITD
MV4-11,MLL-AF4 + FLT3-ITD
OCI-AML3,DNMT3A + NPM1c + NRAS
Kasumi-1,RUNX1-RUNX1T1 + KIT + TP53
HL-60,TP53 + NRAS + CDKN2A
OCI-AML5,BCORL1
OCI-AML2,MLL-AF6
NOMO-1,MLL-AF9 + EP300 + KRAS + TP53
MOLM-14,MLL-AF9 + FLT3-ITD
SKNO-1,RUNX1-RUNX1T1 + KIT + TP53
Primary,
THP-1,MLL-AF9 + NRAS + TP53
Primary IDH1mut,IDH1
ML-2,MLL-AF6 + KRAS
Primary TET2mut,TET2
Primary FLT3-ITDmut,FLT3-ITD
Primary MLL-r,MLL-r
NB-4,t(15:17) + KRAS + TP53
U-937,CALM-AF10 + PTEN + TP53
K-562,BCR-ABL + TP53
iBlast,
NOMO-1/MOLM-13,MLL-AF9
MM6/NB4,MLL-AF9 / PML-RARA
iLSC,
4Lines,
KG-1,FGFR1OP2-FGFR1 + TP53 + NRAS
Primary TP53mut,TP53
MonoMac-6,MLL-AF9 + TP53
F36P,KMT2A + TP53
IMS-M2,NPM1
SKM-1,TP53 + KRAS + ASXL1 + BCORL1